ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415124.0000000000000000,1,0,-2.4592782963853758e+07,-5.7461758690229058e+07,-2.8196182019058764e+07,3.0821555712667145e+06,-1.0365299394514789e+06,-8.7417374295879120e+05
de405,2415125.0000000000000000,1,0,-2.1475594606493872e+07,-5.8412283013575234e+07,-2.9028072710477550e+07,3.1506491162195038e+06,-8.6418179038203240e+05,-7.8926423815282702e+05
de405,2415126.0000000000000000,1,0,-1.8294629058673821e+07,-5.9189483850621395e+07,-2.9774042574071281e+07,3.2097089510585596e+06,-6.8991805453191570e+05,-7.0235071981754538e+05
de405,2415127.0000000000000000,1,0,-1.5059326719653688e+07,-5.9791549404015623e+07,-3.0432142323620148e+07,3.2593179828586089e+06,-5.1394493989344692e+05,-6.1354152421862190e+05
de405,2415128.0000000000000000,1,0,-1.1779156366559183e+07,-6.0216870483380795e+07,-3.1000527912620544e+07,3.2994364098524307e+06,-3.3646196286918811e+05,-5.2293905264494492e+05
de405,2415129.0000000000000000,1,0,-8.4636382705017347e+06,-6.0464035341557480e+07,-3.1477455372803111e+07,3.3300009159967410e+06,-1.5766500188129614e+05,-4.3064131824917364e+05
de405,2415130.0000000000000000,1,0,-5.1223680928297099e+06,-6.0531827565577663e+07,-3.1861277202721849e+07,3.3509239143155008e+06,2.2250639448845537e+04,-3.3674350307188201e+05
de405,2415131.0000000000000000,1,0,-1.7650415170437330e+06,-6.0419227054130957e+07,-3.2150440327999625e+07,3.3620928315777988e+06,2.0308711494542379e+05,-2.4133954829408225e+05
de405,2415132.0000000000000000,1,0,1.5985204242117964e+06,-6.0125414158624135e+07,-3.2343485678622682e+07,3.3633694340358125e+06,3.8464081820767466e+05,-1.4452380232783518e+05
de405,2415133.0000000000000000,1,0,4.9583453711372558e+06,-5.9649777112009890e+07,-3.2439049454175219e+07,3.3545892015324449e+06,5.6669901654653880e+05,-4.6392753178149265e+04
de405,2415134.0000000000000000,1,0,8.3042830632118927e+06,-5.8991922918769486e+07,-3.2435866175368760e+07,3.3355607656486137e+06,7.4903628612813132e+05,5.2953126380754838e+04
de405,2415135.0000000000000000,1,0,1.1625978245860744e+07,-5.8151691931134760e+07,-3.2332773649942234e+07,3.3060654370954582e+06,9.3141069527633686e+05,1.5340738986641023e+05
de405,2415136.0000000000000000,1,0,1.4912843163771087e+07,-5.7129176391099870e+07,-3.2128720013278164e+07,3.2658568587161913e+06,1.1135596800304661e+06,2.5485545075203112e+05
de405,2415137.0000000000000000,1,0,1.8154029790086500e+07,-5.5924743275124401e+07,-3.1822773039157689e+07,3.2146608337583924e+06,1.2951955531771544e+06,3.5717220218017767e+05
de405,2415138.0000000000000000,1,0,2.1338401998123996e+07,-5.4539061838551953e+07,-3.1414131954153594e+07,3.1521753950978792e+06,1.4760005853670798e+06,4.6021938311384700e+05
de405,2415139.0000000000000000,1,0,2.4454507957335521e+07,-5.2973136319195688e+07,-3.0902142030304104e+07,3.0780712005114085e+06,1.6556215950111332e+06,5.6384264827031817e+05
